Room Name,D1 Device,Available Ports in D1,Has SW1,Available Ports in SW1
HC-102,SonyXBR,2,True,0
HC-103,Sony VPL,1,True,2
HC-130,Epson Projector No Audio,2,True,1
HC-142,Epson Projector No Audio,2,True,1
HC-217,Sony VPL,1,True,0
HC-221,Sony VPL,1,True,0
HC-229,SonyXBR,2,False,0
HC-247,SonyXBR,3,False,0
HC-298,SonyXBR,3,False,0
HC-318,Sony XBR No Audio,3,True,1
HC-327,SonyXBR,2,False,0
HC-378,SonyXBR,2,False,0
HC-B20,Sony Projector No Audio,2,True,0
HC-B22,Sony Projector No Audio,2,True,0
HCEB-102B,SonyXBR,3,False,0
HCEB-102C,SonyXBR,3,False,0
HCEB-102D,SonyXBR,2,False,0
HCEB-102H,SonyXBR,3,False,0
HCEB-107,SonyXBR,2,False,0
HCEB-118,SonyXBR,1,False,0
HCEB-123A,SonyXBR,3,False,0
HCEB-202,SonyXBR,1,False,0
HCEB-204C,SonyXBR,1,False,0
HCEB-205,SonyXBR,3,False,0
HCEB-217,SonyXBR,1,False,0
HCEB-241,SonyXBR,2,False,0
HCEB-243,SonyXBR,1,False,0
HCEB-249,SonyXBR,1,False,0
HCEB-255,SonyXBR,1,False,0
HCEB-256,SonyXBR,2,False,0
HCEB-303A,SonyXBR,1,False,0
HCEB-303E,SonyXBR,2,False,0
HCEB-303F,SonyXBR,3,False,0
HCEB-309A,SonyXBR,3,False,0
HCEB-309B,SonyXBR,2,False,0
HCEB-311,SonyXBR,1,False,0
HCEB-321A,SonyXBR,3,False,0
HCEB-321B,SonyXBR,3,False,0
HCEB-321C,SonyXBR,3,False,0
HCEB-321D,SonyXBR,3,False,0
HCEB-321E,SonyXBR,3,False,0
HCEB-325,SonyXBR,2,False,0
HCEB-327,SonyXBR,1,False,0
HCEB-329,SonyXBR,3,False,0
HCEB-341,SonyXBR,1,False,0
HCEB-357,SonyXBR,1,False,0
HCEB-358,SonyXBR,1,False,0
HCEB-359,SonyXBR,3,False,0
HCEB-401,SonyXBR,3,False,0
HCEB-409,SonyXBR,2,False,0
HCEB-413B,SonyXBR,2,False,0
HCEB-415,SonyXBR,3,False,0
HCEB-417,SonyXBR,3,False,0
HCEB-419G,SonyXBR,1,False,0
HCEB-429,SonyXBR,2,False,0
HCEB-442,SonyXBR,3,False,0
HCEB-457,SonyXBR,3,False,0
HCEB-458,SonyXBR,1,False,0
HCEB-B111,SonyXBR,3,False,0
HCEB-BALLRM,Sony VPL,2,True,0
HGB-115,Sony VPL,1,False,0
HRCB-116,Sony VPL,2,True,0
HRCB-117,Sony VPL,1,True,0
HRCB-122,Sony VPL,1,True,0
HRCB-123,Sony PHZ10,1,True,0
HRCB-125,Sony VPL,0,False,0
HRCB-150,Sony VPL,1,True,0
HRCB-151,Sony VPL,2,True,0
HRCB-154,Sony Projector No Audio,2,True,2
HRCB-238,Sony Projector No Audio,2,True,0
HRCB-257,Sony PHZ10,1,True,0
HRCB-273,SonyXBR,1,False,0
ITB-1004,Sony PHZ10,2,True,2
ITB-1006,Sony PHZ10,0,False,0
ITB-1010,Sony VPL,2,False,0
ITB-1020,SonyXBR,0,False,0
ITB-1101,Sony VPL,2,True,1
ITB-1101XA,SonyXBR,3,True,1
ITB-1101XB,SonyXBR,3,True,1
ITB-1101XC,SonyXBR,3,True,1
ITB-1101XD,SonyXBR,3,True,1
ITB-1102,SonyXBR,0,False,0
ITB-1105,Sony Projector No Audio,2,True,0
ITB-1105B,Sony Projector No Audio,2,True,0
ITB-1106,Sony Projector No Audio,2,True,0
ITB-1106AB,Sony Projector No Audio,2,True,0
ITB-1106B,Sony Projector No Audio,2,True,0
ITB-1108A,SonyXBR,3,False,0
ITB-1108B,SonyXBR,3,False,0
ITB-1108C,SonyXBR,3,False,0
ITB-1110,SonyXBR,0,False,0
ITB-1111,SonyXBR,1,False,0
ITB-1112,SonyXBR,2,False,0
ITB-1208,Sony VPL,1,False,0
ITB-1216,SonyXBR,2,False,0
ITB-2019,Sony Projector No Audio,2,True,0
ITB-2031,SonyXBR,2,False,0
ITB-2033,SonyXBR,2,False,0
ITB-2205,SonyXBR,1,False,0
ITB-2216,SonyXBR,1,False,0
ITB-2220,SonyXBR,1,False,0
ITB-2220A,SonyXBR,2,False,0
ITB-2222,SonyXBR,1,False,0
ITB-3006,Sony Projector No Audio,2,True,2
ITB-3010,SonyXBR,1,False,0
ITB-3012,SonyXBR,1,False,0
ITB-3016,SonyXBR,0,False,0
ITB-3018,SonyXBR,2,False,0
ITB-3020,SonyXBR,0,False,0
ITB-3022,SonyXBR,1,False,0
ITB-3024,SonyXBR,2,False,0
ITB-3203,SonyXBR,3,False,0
ITB-3213,SonyXBR,2,False,0
ITB-3302,SonyXBR,2,False,0
ITB-3304A,SonyXBR,1,False,0
ITB-3306,SonyXBR,1,False,0
ITB-3308,Sony VPL,1,True,0
ITB-3310,Sony VPL,1,True,0
ITB-JAKE,SonyXBR,3,True,1
ITB-JJAKE,SonyXBR,3,False,0
ITB-TERRY,SonyXBR,0,False,0
ITB-TEST,SonyXBR,0,False,0
ITB-ZEN,SonyXBR,2,False,0
JFSB-1031,Sony VPL,0,False,0
JFSB-1041S,SonyXBR,3,False,0
JFSB-1063G,SonyXBR,1,False,0
JFSB-1081,Sony VPL,2,True,0
JFSB-1131A,SonyXBR,2,False,0
JFSB-1131B,SonyXBR,2,False,0
JFSB-1131C,SonyXBR,2,False,0
JFSB-1141,SonyXBR,2,False,0
JFSB-1141A,SonyXBR,2,False,0
JFSB-1141B,SonyXBR,2,False,0
JFSB-1141C,SonyXBR,2,False,0
JFSB-1141D,SonyXBR,2,False,0
JFSB-1141E,SonyXBR,2,False,0
JFSB-1161,Sony XBR No Audio,3,True,1
JFSB-2002,Sony Projector No Audio,2,True,0
JFSB-2060,SonyXBR,1,False,0
JFSB-2068,Sony VPL,2,True,1
JFSB-2110,Sony Projector No Audio,2,True,0
JFSB-2114,Sony VPL,0,False,0
JFSB-2198,Sony Projector No Audio,2,True,0
JFSB-3002,Sony Projector No Audio,2,True,0
JFSB-3068,Sony Projector No Audio,2,True,0
JFSB-3082,Sony PHZ10,2,True,0
JFSB-3116,Sony PHZ10,2,True,0
JFSB-3132,Sony PHZ10,2,True,0
JFSB-3198,Sony PHZ10,2,True,0
JFSB-4010,Sony VPL,2,True,0
JFSB-4068,Sony PHZ10,2,True,0
JFSB-4082,Sony PHZ10,2,True,0
JFSB-4116,Sony PHZ10,2,True,0
JFSB-4138B,SonyXBR,1,False,0
JFSB-4188,Sony VPL,2,False,0
JFSB-B002,Sony Projector No Audio,2,True,2
JFSB-B003A,Sony VPL,2,False,0
JFSB-B013,Sony Projector No Audio,2,False,0
JFSB-B030,Sony Projector No Audio,2,True,0
JFSB-B032,Sony Projector No Audio,2,True,0
JFSB-B037,Sony Projector No Audio,2,True,1
JFSB-B040,Sony VPL,2,True,0
JFSB-B042,Sony VPL,2,True,0
JFSB-B043,SonyXBR,3,False,0
